EPOS ID, EPOS CODE, YIELD, GROUPING, MENU, COURSE, DISH, SELLING PRICE, TARGET GP, TAX, DISH ID
109400,1,1,Beverages,Galway,Minerals & Splits,BT Ginger Ale 125ml,2.20,75.5,23.0000,52385,
109390,1,1,Beverages,Galway,Minerals & Splits,BT Lucozade,3.40,72.9,23.0000,52374,
109391,1,1,Beverages,Galway,Minerals & Splits,BT Orange Juice 200ml,3.00,74.38,23.0000,52375,
109398,1,1,Beverages,Galway,Minerals & Splits,BT Slimline Tonic 125ml,2.20,75,23.0000,52383,
109401,1,1,Beverages,Galway,Minerals & Splits,BT Soda Water 125ml,2.20,75.5,23.0000,52387,
109394,1,1,Beverages,Galway,Minerals & Splits,BT Sparkling Water 330ml,3.00,81.2,23.0000,52378,
109383,1,1,Beverages,Galway,Minerals & Splits,BT Sprite Zero 200ml,3.00,79.96,23.0000,52365,
109393,1,1,Beverages,Galway,Minerals & Splits,BT Still Water 330ml,3.00,81.2,23.0000,52377,
109397,1,1,Beverages,Galway,Minerals & Splits,BT Tonic Water 125ml,2.20,75.5,23.0000,52382,
109399,1,1,Beverages,Galway,Minerals & Splits,BT White Lemonade 125ml,2.20,74.6,23.0000,52384,
109426,1,1,Beverages,Galway,Minerals & Splits,Can Monster Energy 250ml,4.20,74.3,23.0000,52434,
109413,1,1,Beverages,Galway,Minerals & Splits,Dash Cordial Blackcurrant 150ml,1.00,81.27,23.0000,52412,
